comparison,metric,cohens_d,p_value,significant_after_bonferroni
QKG-QI vs Dijkstra,avg_path_risk,2.276,7.05812331496441e-73,True
QKG-QI vs Dijkstra,energy_cost,-2.169,9.250624014532171e-70,True
QKG-QI vs Dijkstra,avg_comm_loss,1.895,2.689343684101635e-61,True
QKG-QI vs Dijkstra,constraint_violations,2.207,6.9726602649470015e-71,True
QKG-QI vs Dijkstra,mission_objective_score,2.152,2.864751580458612e-69,True
QKG-QI vs A*,avg_path_risk,2.241,7.039521242275116e-72,True
QKG-QI vs A*,energy_cost,-2.182,3.743932811973606e-70,True
QKG-QI vs A*,avg_comm_loss,1.967,1.3509179310096212e-63,True
QKG-QI vs A*,constraint_violations,2.24,7.653196195567998e-72,True
QKG-QI vs A*,mission_objective_score,2.193,1.8079631804934914e-70,True
QKG-QI vs Risk-Aware A*,avg_path_risk,0.736,1.2278878366357582e-18,True
QKG-QI vs Risk-Aware A*,energy_cost,-1.114,2.5585556238724894e-33,True
QKG-QI vs Risk-Aware A*,avg_comm_loss,0.717,6.580970284310759e-18,True
QKG-QI vs Risk-Aware A*,constraint_violations,0.731,1.960854392051048e-18,True
QKG-QI vs Risk-Aware A*,mission_objective_score,0.686,8.917811150313138e-17,True
QKG-QI vs GA,avg_path_risk,1.582,9.593625914362303e-51,True
QKG-QI vs GA,energy_cost,2.153,2.6193382319798413e-69,True
QKG-QI vs GA,avg_comm_loss,1.219,2.34073924883271e-37,True
QKG-QI vs GA,constraint_violations,2.152,2.834304842794376e-69,True
QKG-QI vs GA,mission_objective_score,2.48,1.4532638661355373e-78,True
